Date;Country;CPI
1.3.24;Czechia;0.13
1.4.24;Czechia;0.66
1.5.24;Czechia;0.00
1.6.24;Czechia;-0.26
1.7.24;Czechia;0.66
1.8.24;Czechia;0.26
1.9.24;Czechia;-0.39
1.1.12;Denmark;0.42
1.2.12;Denmark;1.14
1.3.12;Denmark;0.51
1.4.12;Denmark;0.00
1.5.12;Denmark;0.10
1.6.12;Denmark;-0.20
1.7.12;Denmark;0.00
1.8.12;Denmark;0.31
1.9.12;Denmark;0.20
1.10.12;Denmark;0.00
1.11.12;Denmark;-0.20
1.12.12;Denmark;-0.20
1.1.13;Denmark;-0.41
1.2.13;Denmark;1.12
1.3.13;Denmark;0.30
1.4.13;Denmark;-0.20
1.5.13;Denmark;0.10
1.6.13;Denmark;-0.10
1.7.13;Denmark;-0.30
1.8.13;Denmark;0.10
1.9.13;Denmark;0.30
1.10.13;Denmark;0.10
1.11.13;Denmark;-0.20
1.12.13;Denmark;-0.10
1.1.14;Denmark;-0.10
1.2.14;Denmark;0.61
1.3.14;Denmark;0.10
1.4.14;Denmark;0.20
